yval, sdiff, lineardiff
0.28, -100,  -10
0.96, 0,  0
1.93, 0,  0
2.75, -100,  -10
3.57, -100,  -10
4.49, 0,  0
5.43, 0,  0
6.42, 0,  0
7.35, 0,  0
8.15, 0,  0
9.14, 0,  0
10.01, 0,  0
10.89, 0,  0
11.96, 0,  0
12.93, 0,  0
13.75, 0,  0
14.57, 0,  0
15.5, -100,  -10
16.42, -100,  -10
17.51, 0,  0
18.33, 0,  0
19.3, -100,  -10
20.12, 0,  0
20.75, 0,  0
21.89, 0,  0
22.73, 0,  0
23.59, 0,  0
24.52, 0,  0
25.32, 121,  11
26.24, -1681,  -41
27.2, -50625,  -225
28.49, 0,  0
29.33, 0,  0
30.14, 121,  11
31.39, 961,  31
32.32, 441,  21
33.11, 441,  21
33.89, 441,  21
34.84, 441,  21
35.9, 121,  11
36.84, 121,  11
37.69, 121,  11
38.54, 121,  11
39.35, 0,  0
40.26, 0,  0
41.12, -100,  -10
42.01, -100,  -10
42.82, -100,  -10
43.75, 0,  0
44.61, 0,  0
45.41, 0,  0
46.45, 0,  0
47.38, 0,  0
48.31, 0,  0
49.21, 0,  0
50.24, 0,  0
51.17, 0,  0
51.94, 0,  0
52.93, 0,  0
53.95, -100,  -10
54.75, -100,  -10
55.57, -100,  -10
56.47, 0,  0
57.27, -41616,  -204
58.19, -900,  -30
59.08, 0,  0
59.92, 0,  0
60.82, 0,  0
61.73, 0,  0
62.55, 0,  0
63.46, 0,  0
64.25, -100,  -10
65.16, 0,  0
65.97, 0,  0
66.77, -100,  -10
67.74, -100,  -10
68.52, -100,  -10
69.46, 0,  0
70.28, 0,  0
71.32, 0,  0
72.25, 0,  0
73.09, 0,  0
73.91, 0,  0
74.84, 0,  0
75.82, 0,  0
76.63, 0,  0
77.42, 0,  0
78.24, 0,  0
79.03, -100,  -10
79.85, -100,  -10
80.89, -100,  -10
81.76, 0,  0
82.71, -100,  -10
83.53, -400,  -20
84.48, 0,  0
85.41, 0,  0
86.2, 0,  0
87.02, 0,  0
87.81, 0,  0
88.51, -100,  -10
89.99, -65536,  -256
90.92, 0,  0
91.73, -100,  -10
92.57, -100,  -10
93.43, -100,  -10
94.34, -100,  -10
95.14, -100,  -10
95.95, 0,  0
96.82, 121,  11
97.63, 0,  0
98.47, 0,  0
99.31, 0,  0
100.22, 0,  0
101.06, 0,  0
101.87, 0,  0
102.66, 0,  0
103.48, 0,  0
104.41, -100,  -10
105.23, 0,  0
106.11, -100,  -10
107.07, -100,  -10
107.75, 0,  0
108.81, 0,  0
109.6, 0,  0
110.42, 0,  0
111.24, 121,  11
112.14, 121,  11
112.96, 0,  0
113.78, 0,  0
114.64, 121,  11
115.46, 0,  0
116.34, 0,  0
117.2, -100,  -10
118.0, 0,  0
118.81, 0,  0
119.79, -2601,  -51
120.62, -41616,  -204
121.51, 0,  0
122.44, 121,  11
123.26, 121,  11
124.1, 0,  0
125.02, 0,  0
125.84, 0,  0
126.63, 0,  0
127.41, 0,  0
128.27, 0,  0
129.06, 0,  0
129.99, -100,  -10
130.79, -100,  -10
131.69, -100,  -10
132.6, -100,  -10
133.42, 0,  0
134.23, -100,  -10
135.07, 0,  0
135.89, 121,  11
136.72, 121,  11
137.63, 0,  0
138.43, -100,  -10
139.29, 0,  0
140.1, 0,  0
141.01, 0,  0
141.81, 0,  0
142.65, -100,  -10
143.55, -100,  -10
144.35, -100,  -10
145.36, -100,  -10
146.16, -100,  -10
146.95, 0,  0
147.88, 0,  0
148.74, 121,  11
149.52, 121,  11
150.45, -1681,  -41
151.26, -41616,  -204
152.1, -100,  -10
152.76, 121,  11
152.64, 0,  0
