yval, sdiff, lineardiff
0.0, 0,  0
0.0, 0,  0
0.53, -64,  -8
1.39, 0,  0
1.93, -25,  -5
2.73, -9,  -3
3.43, -4,  -2
4.16, -25,  -5
4.86, -25,  -5
5.44, -9,  -3
6.15, 25,  5
6.87, -4,  -2
7.45, 4,  2
8.17, 0,  0
8.75, 0,  0
9.46, 9,  3
10.18, 0,  0
10.89, -9,  -3
11.59, -4,  -2
12.21, -9,  -3
12.99, 0,  0
13.71, 0,  0
14.29, 0,  0
15.0, 0,  0
15.74, 9,  3
16.31, 4,  2
17.0, 9,  3
17.75, 9,  3
18.29, 0,  0
19.01, 0,  0
19.6, 0,  0
20.39, 0,  0
21.09, 0,  0
21.8, 0,  0
22.37, 0,  0
23.08, 0,  0
23.81, -9,  -3
24.36, -9,  -3
25.13, -4,  -2
25.83, -9,  -3
26.56, 0,  0
27.49, -64,  -8
28.06, -3481,  -59
28.9, -49,  -7
29.49, 4,  2
30.18, 9,  3
30.76, 9,  3
31.48, 0,  0
32.21, 0,  0
32.93, 100,  10
33.51, 3481,  59
34.21, 49,  7
34.94, 9,  3
35.65, 0,  0
36.2, 0,  0
36.95, 0,  0
37.64, -9,  -3
38.34, -25,  -5
38.94, -4,  -2
39.66, 0,  0
40.24, -9,  -3
40.96, 0,  0
41.65, 0,  0
42.24, 25,  5
43.1, 25,  5
43.68, 9,  3
44.42, 9,  3
44.96, 0,  0
45.68, 0,  0
46.26, 4,  2
46.98, 0,  0
47.69, -4,  -2
48.27, -9,  -3
49.01, 0,  0
49.72, 0,  0
50.31, -9,  -3
51.04, -4,  -2
51.78, -25,  -5
52.34, -9,  -3
53.04, 0,  0
53.62, 0,  0
54.35, 0,  0
55.05, 0,  0
55.63, 9,  3
56.35, 4,  2
57.04, 0,  0
57.8, 0,  0
58.38, -4,  -2
59.07, -25,  -5
59.64, -3249,  -57
60.39, -169,  -13
61.15, 0,  0
61.74, 0,  0
62.49, 9,  3
63.03, 9,  3
64.07, 0,  0
64.83, 4,  2
65.59, 2916,  54
66.33, 169,  13
67.04, 0,  0
67.78, 0,  0
68.34, 0,  0
69.12, 0,  0
69.85, 25,  5
70.42, 4,  2
71.13, 9,  3
71.71, 0,  0
72.43, 0,  0
73.14, 0,  0
73.84, 0,  0
74.42, 0,  0
75.13, -4,  -2
75.85, 0,  0
76.43, 0,  0
77.15, -9,  -3
77.71, -9,  -3
78.43, -4,  -2
79.14, -9,  -3
79.87, -9,  -3
80.42, 0,  0
81.15, 0,  0
81.71, 0,  0
82.45, 36,  6
83.01, 4,  2
83.71, 9,  3
84.46, 0,  0
85.03, 0,  0
85.74, -9,  -3
86.3, 0,  0
87.04, 0,  0
87.6, -4,  -2
88.34, -9,  -3
89.05, 0,  0
89.62, 9,  3
90.33, 4,  2
91.04, -225,  -15
91.61, -3844,  -62
92.49, -4,  -2
93.19, 0,  0
93.75, 4,  2
94.49, 0,  0
95.03, 0,  0
95.65, 0,  0
96.39, 324,  18
96.95, 3844,  62
97.67, 0,  0
98.38, -9,  -3
98.99, -4,  -2
99.57, 0,  0
100.31, 0,  0
101.02, 0,  0
101.58, 0,  0
102.3, 0,  0
102.88, 4,  2
103.58, 9,  3
104.18, 9,  3
104.87, -9,  -3
105.57, -9,  -3
106.17, -4,  -2
106.87, 0,  0
107.41, 0,  0
108.16, 0,  0
108.73, 4,  2
109.46, 9,  3
110.16, 25,  5
110.76, 4,  2
111.47, 9,  3
112.04, 0,  0
112.75, 0,  0
113.32, 0,  0
