angle, dist
0.0, 36
0.0, 19
0.0, 13
0.0, 10
0.0, 8
0.0, 8
0.0, 8
0.0, 8
0.0, 8
0.0, 8
0.0, 8
0.0, 8
1.2, 8
7.0, 8
8.9, 8
13.8, 8
17.0, 8
20.4, 8
22.7, 8
27.0, 8
30.4, 9
35.9, 9
36.8, 12
46.6, 16
51.1, 25
54.3, 38
57.5, 68
60.7, 49
63.9, 39
67.3, 32
70.5, 32
69.6, 32
64.5, 32
61.9, 32
58.1, 32
54.3, 32
50.9, 32
46.8, 32
43.2, 32
39.8, 32
36.4, 32
33.2, 32
30.0, 39
28.7, 25
19.8, 18
16.6, 14
13.2, 11
10.0, 9
6.6, 8
3.4, 8
0.2, 8
357.0, 8
354.4, 8
348.9, 8
345.7, 8
342.5, 8
340.1, 8
335.9, 9
333.1, 9
329.9, 10
327.1, 11
323.7, 13
318.6, 14
315.2, 16
312.0, 18
308.0, 18
304.1, 17
300.9, 17
297.8, 16
294.3, 15
292.6, 13
288.2, 12
285.0, 12
280.9, 11
277.7, 11
274.3, 11
270.3, 11
267.1, 11
265.0, 11
261.5, 11
258.8, 11
255.2, 12
250.9, 12
247.5, 13
244.1, 14
240.9, 18
236.6, 21
233.4, 25
229.0, 37
226.6, 68
223.4, 68
220.2, 108
146.0, 264
143.7, 264
140.3, 264
136.9, 264
134.7, 264
130.7, 264
129.8, 264
128.1, 264
126.9, 264
125.6, 264
125.4, 264
125.8, 264
126.0, 264
126.2, 264
125.4, 264
120.5, 264
112.8, 232
107.3, 207
104.1, 187
98.7, 170
93.8, 156
88.5, 157
83.0, 158
77.9, 173
72.5, 190
67.0, 210
62.1, 235
57.2, 266
51.7, 266
47.0, 266
41.4, 211
36.5, 176
31.6, 176
26.1, 176
21.0, 176
16.3, 101
11.2, 70
5.7, 50
359.3, 40
358.8, 32
0.1, 32
0.3, 32
0.3, 32
0.3, 34
0.3, 35
0.3, 37
0.3, 39
0.3, 41
